Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
1. Fußball Club Union Berlin e. V.,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2019,"An der Wuhlheide 263, 12555 Berlin",Bildung,Profivereine machen Schule - Bewegungs- und Sportförderung an Grundschulen,95680
1. Fußball Club Union Berlin e. V.,"Senatsverwaltung für Bildung, Jugend und Wissenschaft",Projektförderung,2016,"An der Wuhlheide 263, 12555 Berlin",Bildung,Profivereine machen Schule - Bewegungs- und Sportförderung an Grundschulen,88320
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Trainern mit Schwerpunkt im Kinder- und Jugendsport,5322
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Verwaltungskräften in Sportverbänden und -vereinen,7705
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,24884
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Trainern mit Schwerpunkt im Kinder- und Jugendsport,5535
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Verwaltungskräften in Sportverbänden und -vereinen,7739
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,24690
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Trainern mit Schwerpunkt im Kinder- und Jugendsport,7826
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Verwaltungskräften in Sportverbänden und -vereinen,9000
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,24832
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,18367
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Trainerinnen und Trainern mit Schwerpunkt im Kinder- und Jugendsport,6809
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Verwaltungskräften in Sportverbänden und -vereinen,9000
